word,count
call,602
get,401
dont,279
free,278
ltgt,276
know,267
day,255
got,251
come,247
like,245
ill,237
good,235
time,233
text,215
want,213
love,203
send,190
need,182
one,180
going,171
today,169
txt,163
home,162
lor,160
see,157
sorry,156
stop,156
still,153
back,152
mobile,151
think,146
reply,146
take,142
tell,142
phone,140
new,136
week,134
later,134
well,133
please,130
make,124
cant,123
say,118
night,118
claim,115
thing,114
much,113
dear,113
great,111
hey,111
pls,109
number,107
happy,106
friend,105
work,105
give,105
hope,104
message,103
way,101
wat,96
wan,95
prize,94
right,94
thats,94
msg,94
yes,92
let,92
min,92
already,90
tomorrow,90
ask,88
really,86
yeah,86
said,86
babe,84
amp,82
life,81
meet,80
didnt,79
morning,78
year,78
last,78
win,77
miss,77
service,77
would,76
co,76
thanks,75
ive,74
cash,74
find,74
feel,73
lol,73
anything,73
every,73
tone,73
nokia,72
sure,71
pick,71
also,71
contact,70
keep,70
care,69
something,68
sent,68
urgent,65
buy,65
place,64
next,62
first,62
guy,62
around,61
even,61
tonight,61
show,61
went,61
customer,60
help,60
could,60
someone,60
wish,60
per,59
gon,59
soon,59
wait,59
many,59
nice,57
money,57
chat,57
sleep,57
word,56
always,56
late,56
dun,55
leave,55
wont,54
name,54
end,53
waiting,53
youre,53
gud,53
told,53
hour,52
people,51
lot,51
minute,51
getting,50
girl,50
guaranteed,50
yet,50
thk,50
coming,50
box,50
done,49
hello,49
smile,49
month,48
try,48
thought,48
person,48
haha,48
talk,47
class,47
best,47
may,46
live,46
mean,46
havent,46
offer,46
fine,45
finish,45
lunch,45
man,45
job,45
line,45
stuff,44
use,44
car,44
hows,44
sm,44
bit,44
draw,44
ppm,44
holiday,44
heart,44
yup,43
trying,43
never,43
special,43
meeting,43
plan,43
long,42
better,42
account,42
dat,42
start,42
chance,41
cool,41
ready,41
problem,41
god,41
mind,41
latest,40
weekend,40
room,39
guess,39
enjoy,39
lar,38
receive,38
cost,38
eat,38
look,38
half,38
play,38
check,38
awarded,38
nothing,38
game,38
real,37
another,37
big,37
voucher,37
world,36
camera,36
birthday,36
landline,36
house,36
boy,36
shit,36
dinner,35
sweet,35
sir,35
liao,35
jus,35
kiss,35
ever,35
watching,34
luv,34
watch,34
might,34
quite,34
point,33
early,33
xxx,33
speak,33
aight,33
whats,33
called,33
probably,33
pic,33
apply,32
fun,32
bus,32
he,32
part,32
hear,32
bed,32
hr,32
rate,32
thanx,32
video,32
baby,32
two,32
actually,32
den,32
princess,32
network,31
remember,31
pay,31
maybe,31
forgot,31
worry,31
question,31
easy,31
nite,31
reach,31
shopping,31
dunno,31
orange,31
bad,31
code,30
pobox,30
left,30
dis,30
hurt,30
little,30
put,30
fuck,30
dad,30
